,carat,cut,color,clarity,depth,table,price,x,y,z,cut value,color value,clarity value
25884,0.39,IDEAL,I,VVS2,62.0,56.0,750,4.67,4.72,2.91,5,2,6
25885,0.4,GOOD,I,VVS2,59.7,62.0,750,4.75,4.79,2.85,2,2,6
25886,0.34,IDEAL,D,SI1,62.0,55.0,750,4.53,4.5,2.8,5,7,3
25887,0.34,PREMIUM,D,SI1,62.0,58.0,750,4.47,4.43,2.76,4,7,3
25888,0.41,IDEAL,H,VS1,61.8,56.0,750,4.73,4.78,2.94,5,3,5
25889,0.42,VERY GOOD,G,SI1,62.0,54.0,751,4.8,4.82,2.98,3,4,3
25890,0.4,IDEAL,I,VVS2,62.6,54.0,751,4.69,4.73,2.95,5,2,6
25891,0.34,IDEAL,G,VVS2,62.4,53.0,751,4.49,4.52,2.81,5,4,6
25892,0.34,IDEAL,H,VVS1,61.6,53.0,751,4.5,4.52,2.78,5,3,7
25893,0.34,IDEAL,H,VVS1,61.1,56.0,751,4.51,4.56,2.77,5,3,7
25894,0.38,IDEAL,E,VS2,61.9,57.0,751,4.61,4.66,2.87,5,6,4
25895,0.38,VERY GOOD,I,VVS1,63.5,57.0,752,4.6,4.63,2.93,3,2,7
25896,0.24,IDEAL,E,VVS1,60.9,56.0,752,4.01,4.04,2.45,5,6,7
25897,0.39,IDEAL,G,VS1,61.3,56.0,752,4.68,4.71,2.88,5,4,5
25898,0.31,IDEAL,D,VS1,60.5,57.0,752,4.39,4.41,2.66,5,7,5
25899,0.27,PREMIUM,E,VVS2,61.8,59.0,752,4.18,4.14,2.57,4,6,6
25900,0.27,IDEAL,E,VVS1,62.0,56.0,752,4.19,4.16,2.59,5,6,7
25901,0.27,GOOD,E,VVS1,63.9,57.0,752,4.1,4.07,2.61,2,6,7
25902,0.27,IDEAL,D,VVS2,61.5,56.0,752,4.18,4.15,2.56,5,7,6
25903,0.27,IDEAL,D,VVS1,61.7,57.0,752,4.2,4.16,2.58,5,7,7
25904,0.33,VERY GOOD,G,VVS2,61.2,57.0,752,4.42,4.44,2.71,3,4,6
25905,0.33,PREMIUM,G,VVS2,61.0,58.0,752,4.44,4.48,2.72,4,4,6
25906,0.33,IDEAL,G,VVS2,60.1,57.0,752,4.48,4.51,2.7,5,4,6
25907,0.33,PREMIUM,G,VVS2,62.0,59.0,752,4.41,4.46,2.75,4,4,6
25908,0.33,PREMIUM,G,VVS2,61.7,59.0,752,4.39,4.42,2.72,4,4,6
25909,0.33,IDEAL,G,VVS2,61.7,55.0,752,4.42,4.46,2.74,5,4,6
25910,0.33,IDEAL,H,VVS1,62.1,55.0,752,4.42,4.44,2.75,5,3,7
25911,0.33,PREMIUM,G,VVS2,59.5,60.0,752,4.52,4.55,2.7,4,4,6
25912,0.33,VERY GOOD,G,VVS2,60.9,57.0,752,4.43,4.5,2.72,3,4,6
25913,0.33,VERY GOOD,G,VVS2,61.9,58.0,752,4.39,4.43,2.73,3,4,6
25914,0.33,PREMIUM,G,VVS2,61.7,58.0,752,4.39,4.42,2.72,4,4,6
25915,0.33,IDEAL,G,VVS2,61.5,56.0,752,4.45,4.49,2.75,5,4,6
25916,0.33,VERY GOOD,G,VVS2,60.9,59.0,752,4.45,4.49,2.72,3,4,6
25917,0.3,VERY GOOD,D,VVS2,62.9,56.0,752,4.27,4.29,2.69,3,7,6
25918,0.33,PREMIUM,H,VVS1,61.4,59.0,752,4.42,4.44,2.72,4,3,7
25919,0.31,VERY GOOD,E,VVS1,60.3,57.0,752,4.41,4.44,2.67,3,6,7
25920,0.33,IDEAL,G,VVS2,61.7,56.0,752,4.42,4.46,2.74,5,4,6
25921,0.33,IDEAL,H,VVS1,61.7,56.0,752,4.46,4.48,2.76,5,3,7
25922,0.33,PREMIUM,G,VVS2,60.6,58.0,752,4.47,4.5,2.72,4,4,6
25923,0.33,IDEAL,H,VVS1,62.2,55.0,752,4.4,4.44,2.75,5,3,7
25924,0.3,GOOD,D,VVS2,63.6,55.0,752,4.25,4.31,2.72,2,7,6
25925,0.33,VERY GOOD,G,VVS2,60.0,63.0,752,4.45,4.49,2.68,3,4,6
25926,0.33,IDEAL,G,VVS2,62.5,54.0,752,4.41,4.45,2.77,5,4,6
25927,0.33,VERY GOOD,G,VVS2,63.0,57.0,752,4.38,4.42,2.77,3,4,6
25928,0.33,VERY GOOD,G,VVS2,62.8,57.0,752,4.39,4.47,2.78,3,4,6
25929,0.3,PREMIUM,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,4,7,6
25930,0.33,IDEAL,G,VVS2,62.7,55.0,752,4.41,4.46,2.78,5,4,6
25931,0.36,VERY GOOD,G,VVS2,61.7,56.0,753,4.56,4.58,2.82,3,4,6
25932,0.36,VERY GOOD,H,VVS1,62.0,55.0,753,4.57,4.6,2.84,3,3,7
25933,0.3,VERY GOOD,G,VVS1,62.5,56.0,753,4.25,4.29,2.67,3,4,7
25934,0.41,VERY GOOD,E,SI1,59.3,59.0,753,4.86,4.89,2.89,3,6,3
25935,0.41,IDEAL,I,VVS2,61.6,56.0,753,4.79,4.82,2.96,5,2,6
25936,0.3,IDEAL,G,VVS1,62.6,55.0,753,4.27,4.32,2.69,5,4,7
25937,0.3,IDEAL,G,VVS1,62.2,56.0,753,4.27,4.31,2.67,5,4,7
25938,0.3,IDEAL,G,VVS1,62.1,58.0,753,4.26,4.28,2.65,5,4,7
25939,0.34,IDEAL,D,VS2,61.0,58.0,753,4.49,4.53,2.75,5,7,4
25940,0.41,IDEAL,I,VS1,61.8,53.0,753,4.81,4.84,2.98,5,2,5
25941,0.36,IDEAL,E,VS1,61.5,55.0,753,4.58,4.66,2.84,5,6,5
25942,0.4,PREMIUM,G,VS2,61.9,58.0,753,4.74,4.76,2.94,4,4,4
25943,0.4,PREMIUM,G,VS2,60.4,58.0,753,4.75,4.78,2.88,4,4,4
25944,0.41,VERY GOOD,J,VVS2,63.1,60.0,754,4.67,4.71,2.96,3,1,6
25945,0.3,VERY GOOD,D,VVS2,63.0,56.0,754,4.29,4.31,2.71,3,7,6
25946,0.3,VERY GOOD,D,VVS2,63.2,55.0,754,4.27,4.3,2.71,3,7,6
25947,0.42,VERY GOOD,H,SI1,61.1,57.0,754,4.84,4.87,2.96,3,3,3
25948,0.33,IDEAL,G,VVS2,62.0,53.5,754,4.44,4.48,2.76,5,4,6
25949,0.38,IDEAL,H,VS1,62.4,53.0,754,4.67,4.69,2.92,5,3,5
25950,0.37,IDEAL,I,IF,60.7,56.0,754,4.64,4.68,2.83,5,2,8
25951,0.37,IDEAL,I,IF,61.4,55.0,754,4.65,4.67,2.86,5,2,8
25952,0.34,GOOD,E,VS2,57.8,64.0,754,4.6,4.61,2.66,2,6,4
25953,0.41,GOOD,I,VS1,60.1,60.1,754,4.79,4.82,2.89,2,2,5
25954,0.43,VERY GOOD,G,SI1,60.4,58.0,754,4.87,4.9,2.95,3,4,3
25955,0.43,VERY GOOD,G,SI1,62.3,59.0,754,4.79,4.81,2.99,3,4,3
25956,0.43,VERY GOOD,G,SI1,62.7,56.0,754,4.8,4.83,3.02,3,4,3
25957,0.43,VERY GOOD,G,SI1,62.9,55.0,754,4.83,4.87,3.05,3,4,3
25958,0.31,IDEAL,E,VS1,61.2,55.0,754,4.4,4.42,2.7,5,6,5
25959,0.31,VERY GOOD,H,VVS1,58.5,59.0,755,4.45,4.5,2.62,3,3,7
25960,0.42,VERY GOOD,H,VS2,62.1,54.0,755,4.81,4.84,2.99,3,3,4
25961,0.3,VERY GOOD,E,VS1,61.7,56.0,755,4.3,4.33,2.66,3,6,5
25962,0.31,IDEAL,E,VVS2,62.5,54.0,755,4.34,4.37,2.72,5,6,6
25963,0.31,IDEAL,E,VVS2,61.4,58.0,755,4.33,4.37,2.67,5,6,6
25964,0.31,IDEAL,E,VVS2,59.9,62.0,755,4.4,4.41,2.64,5,6,6
25965,0.31,IDEAL,E,VVS2,59.7,61.0,755,4.4,4.41,2.63,5,6,6
25966,0.31,IDEAL,G,VVS1,60.2,61.0,755,4.39,4.41,2.65,5,4,7
25967,0.31,IDEAL,G,VVS1,59.0,62.0,755,4.41,4.43,2.61,5,4,7
25968,0.38,VERY GOOD,G,SI1,61.8,53.7,755,4.67,4.69,2.9,3,4,3
25969,0.41,VERY GOOD,E,SI1,62.9,57.0,755,4.72,4.76,2.98,3,6,3
25970,0.41,VERY GOOD,E,SI1,62.9,57.0,755,4.73,4.78,2.99,3,6,3
25971,0.41,VERY GOOD,E,SI1,62.9,56.0,755,4.72,4.76,2.98,3,6,3
25972,0.38,VERY GOOD,G,SI1,62.1,54.0,755,4.64,4.67,2.9,3,4,3
25973,0.38,VERY GOOD,G,SI1,62.0,54.8,755,4.64,4.67,2.89,3,4,3
25974,0.41,IDEAL,E,SI1,62.5,57.0,755,4.74,4.79,2.98,5,6,3
25975,0.41,IDEAL,E,SI1,62.1,54.0,755,4.76,4.81,2.97,5,6,3
25976,0.41,GOOD,H,VS2,63.4,58.0,755,4.77,4.66,2.99,2,3,4
25977,0.41,VERY GOOD,E,SI1,62.8,59.0,755,4.74,4.75,2.98,3,6,3
25978,0.41,GOOD,E,SI1,63.3,57.0,755,4.73,4.75,3.0,2,6,3
25979,0.41,PREMIUM,E,SI1,61.0,59.0,755,4.78,4.82,2.93,4,6,3
25980,0.41,IDEAL,E,SI1,62.5,55.0,755,4.73,4.77,2.97,5,6,3
25981,0.41,PREMIUM,E,SI1,61.3,58.0,755,4.76,4.8,2.93,4,6,3
25982,0.41,GOOD,E,SI1,63.5,57.0,755,4.69,4.73,2.99,2,6,3
25983,0.41,IDEAL,E,SI1,62.6,57.0,755,4.72,4.73,2.96,5,6,3
25984,0.41,IDEAL,I,VS1,60.9,53.0,755,4.8,4.85,2.94,5,2,5
25985,0.41,VERY GOOD,E,SI1,62.4,55.0,755,4.74,4.78,2.97,3,6,3
25986,0.41,VERY GOOD,E,SI1,61.4,56.0,755,4.77,4.81,2.94,3,6,3
25987,0.41,IDEAL,E,SI1,62.7,57.0,755,4.74,4.77,2.98,5,6,3
25988,0.41,PREMIUM,E,SI1,60.1,60.0,755,4.79,4.83,2.89,4,6,3
25989,0.41,GOOD,E,SI1,63.9,58.0,755,4.7,4.72,3.01,2,6,3
25990,0.41,VERY GOOD,E,SI1,60.5,61.0,755,4.78,4.8,2.9,3,6,3
25991,0.41,PREMIUM,E,SI1,62.4,58.0,755,4.75,4.77,2.97,4,6,3
25992,0.41,PREMIUM,E,SI1,60.2,60.0,755,4.78,4.82,2.89,4,6,3
25993,0.41,GOOD,I,VS1,63.7,57.0,755,4.67,4.72,2.99,2,2,5
25994,0.35,IDEAL,G,VVS2,61.8,55.0,756,4.54,4.56,2.81,5,4,6
25995,0.35,IDEAL,H,VVS1,62.0,55.0,756,4.52,4.54,2.81,5,3,7
25996,0.32,IDEAL,D,VS1,61.4,56.0,756,4.42,4.47,2.73,5,7,5
25997,0.42,IDEAL,G,SI1,60.7,57.0,756,4.81,4.89,2.95,5,4,3
25998,0.32,GOOD,E,VS1,60.3,64.0,756,4.42,4.44,2.67,2,6,5
25999,0.32,GOOD,E,VS1,59.5,64.0,756,4.42,4.45,2.64,2,6,5
26000,0.32,PREMIUM,D,SI1,61.3,60.0,756,4.43,4.41,2.71,4,7,3
26001,0.32,IDEAL,D,SI1,60.8,57.0,756,4.44,4.41,2.69,5,7,3
26002,0.32,PREMIUM,D,SI1,58.9,60.0,756,4.49,4.47,2.64,4,7,3
26003,0.32,IDEAL,D,SI1,62.0,55.0,756,4.47,4.37,2.74,5,7,3
26004,0.32,IDEAL,D,SI1,61.9,57.0,756,4.4,4.36,2.71,5,7,3
26005,0.32,PREMIUM,D,SI1,63.0,58.0,756,4.4,4.36,2.76,4,7,3
26006,0.32,IDEAL,D,SI1,62.0,57.0,756,4.4,4.37,2.72,5,7,3
26007,0.32,IDEAL,D,SI1,62.8,56.0,756,4.35,4.34,2.73,5,7,3
26008,0.32,VERY GOOD,D,SI1,63.3,57.0,756,4.39,4.36,2.77,3,7,3
26009,0.32,GOOD,D,SI1,63.8,56.0,756,4.35,4.33,2.77,2,7,3
26010,0.32,IDEAL,D,SI1,62.0,57.0,756,4.42,4.38,2.73,5,7,3
26011,0.4,VERY GOOD,J,VS1,63.5,56.0,756,4.7,4.69,2.98,3,1,5
26012,0.36,PREMIUM,G,VS2,62.5,58.0,756,4.55,4.51,2.83,4,4,4
26013,0.36,PREMIUM,E,SI1,62.2,59.0,756,4.57,4.53,2.83,4,6,3
26014,0.32,PREMIUM,I,VVS1,60.1,61.0,756,4.45,4.4,2.66,4,2,7
26015,0.32,IDEAL,I,VVS1,61.9,55.0,756,4.4,4.39,2.72,5,2,7
26016,0.32,IDEAL,I,VVS1,61.7,55.0,756,4.4,4.39,2.71,5,2,7
26017,0.32,IDEAL,I,VVS1,62.5,55.0,756,4.4,4.37,2.74,5,2,7
26018,0.32,IDEAL,I,VVS1,62.4,55.0,756,4.38,4.34,2.72,5,2,7
26019,0.32,PREMIUM,I,VVS1,63.0,58.0,756,4.38,4.32,2.74,4,2,7
26020,0.32,IDEAL,D,SI1,59.3,55.0,756,4.53,4.51,2.68,5,7,3
26021,0.32,PREMIUM,D,SI1,58.3,58.0,756,4.54,4.49,2.63,4,7,3
26022,0.32,IDEAL,D,SI1,59.6,57.0,756,4.47,4.42,2.65,5,7,3
26023,0.32,PREMIUM,D,SI1,60.4,58.0,756,4.47,4.44,2.69,4,7,3
26024,0.32,PREMIUM,D,SI1,60.8,58.0,756,4.44,4.41,2.69,4,7,3
26025,0.32,IDEAL,D,SI1,61.4,57.0,756,4.42,4.41,2.71,5,7,3
26026,0.32,IDEAL,D,SI1,60.9,56.0,756,4.43,4.4,2.69,5,7,3
26027,0.32,PREMIUM,D,SI1,60.2,58.0,756,4.43,4.4,2.66,4,7,3
26028,0.32,PREMIUM,D,SI1,61.5,59.0,756,4.42,4.39,2.71,4,7,3
26029,0.32,IDEAL,D,SI1,61.5,56.0,756,4.42,4.39,2.71,5,7,3
26030,0.32,IDEAL,D,SI1,61.3,55.0,756,4.42,4.39,2.7,5,7,3
26031,0.32,IDEAL,D,SI1,62.5,54.0,756,4.41,4.39,2.75,5,7,3
26032,0.32,PREMIUM,D,SI1,62.3,55.0,756,4.42,4.38,2.74,4,7,3
26033,0.32,PREMIUM,D,SI1,60.9,60.0,756,4.41,4.39,2.68,4,7,3
26034,0.32,PREMIUM,D,SI1,61.4,58.0,756,4.42,4.38,2.7,4,7,3
26035,0.32,IDEAL,D,SI1,62.8,56.0,756,4.42,4.37,2.76,5,7,3
26036,0.32,IDEAL,D,SI1,62.6,55.0,756,4.39,4.36,2.74,5,7,3
26037,0.32,VERY GOOD,D,SI1,63.1,57.0,756,4.38,4.37,2.76,3,7,3
26038,0.32,VERY GOOD,D,SI1,63.3,57.0,756,4.38,4.37,2.77,3,7,3
26039,0.32,IDEAL,D,SI1,62.7,54.0,756,4.4,4.37,2.75,5,7,3
26040,0.32,IDEAL,D,SI1,61.3,57.0,756,4.41,4.37,2.69,5,7,3
26041,0.32,IDEAL,D,SI1,62.7,54.0,756,4.39,4.35,2.74,5,7,3
26042,0.32,VERY GOOD,D,SI1,63.2,54.0,756,4.38,4.36,2.76,3,7,3
26043,0.32,VERY GOOD,D,SI1,63.1,56.0,756,4.38,4.34,2.75,3,7,3
26044,0.32,GOOD,D,SI1,63.7,55.0,756,4.38,4.35,2.78,2,7,3
26045,0.32,VERY GOOD,D,SI1,63.5,55.0,756,4.35,4.31,2.75,3,7,3
26046,0.32,PREMIUM,D,SI1,62.6,58.0,756,4.36,4.33,2.72,4,7,3
26047,0.32,IDEAL,D,SI1,62.7,57.0,756,4.37,4.34,2.73,5,7,3
26048,0.32,GOOD,D,SI1,63.6,56.0,756,4.37,4.34,2.77,2,7,3
26049,0.31,IDEAL,E,VS2,62.0,56.0,756,4.38,4.36,2.71,5,6,4
26050,0.45,FAIR,G,SI1,68.6,57.0,756,4.73,4.5,3.19,1,4,3
26051,0.44,GOOD,E,SI1,63.4,57.0,756,4.81,4.85,3.06,2,6,3
26052,0.42,VERY GOOD,D,SI1,63.0,55.0,756,4.76,4.79,3.01,3,7,3
26053,0.44,GOOD,E,SI1,63.2,53.0,756,4.84,4.87,3.07,2,6,3
26054,0.42,VERY GOOD,D,SI1,61.5,58.0,756,4.8,4.83,2.96,3,7,3
26055,0.42,VERY GOOD,D,SI1,60.2,57.0,756,4.85,4.89,2.93,3,7,3
26056,0.42,IDEAL,D,SI1,61.9,55.0,756,4.79,4.84,2.98,5,7,3
26057,0.42,VERY GOOD,D,SI1,63.0,57.0,756,4.77,4.81,3.02,3,7,3
26058,0.38,IDEAL,G,VS2,61.9,54.1,757,4.66,4.69,2.89,5,4,4
26059,0.34,PREMIUM,E,VS1,58.0,60.0,757,4.63,4.61,2.68,4,6,5
26060,0.37,VERY GOOD,E,VS2,60.6,58.0,757,4.62,4.65,2.81,3,6,4
26061,0.37,PREMIUM,E,VS2,60.2,58.0,757,4.65,4.68,2.81,4,6,4
26062,0.4,IDEAL,I,VVS2,62.0,54.0,758,4.74,4.77,2.95,5,2,6
26063,0.4,IDEAL,I,VVS2,62.0,57.0,758,4.73,4.75,2.94,5,2,6
26064,0.41,GOOD,D,SI1,56.5,63.0,758,4.98,4.94,2.8,2,7,3
26065,0.34,IDEAL,E,VS2,62.1,54.1,758,4.47,4.5,2.78,5,6,4
26066,0.4,IDEAL,J,IF,62.5,56.0,758,4.7,4.74,2.95,5,1,8
26067,0.32,IDEAL,D,VS2,61.6,56.0,758,4.37,4.4,2.7,5,7,4
26068,0.32,IDEAL,D,VS2,62.0,55.0,758,4.38,4.42,2.73,5,7,4
26069,0.32,IDEAL,D,VS2,62.4,57.0,758,4.34,4.38,2.72,5,7,4
26070,0.32,IDEAL,D,VS2,61.9,55.0,758,4.39,4.43,2.73,5,7,4
26071,0.32,IDEAL,E,VS1,61.7,57.0,758,4.39,4.42,2.72,5,6,5
26072,0.32,GOOD,H,SI1,63.1,54.0,449,4.36,4.42,2.77,2,3,3
26073,0.32,VERY GOOD,I,VS2,61.1,57.0,449,4.39,4.42,2.69,3,2,4
26074,0.32,IDEAL,H,SI1,60.6,57.0,449,4.4,4.44,2.68,5,3,3
26075,0.32,PREMIUM,E,SI2,61.7,60.0,449,4.38,4.41,2.71,4,6,2
26076,0.32,GOOD,H,SI1,63.1,55.0,449,4.34,4.37,2.75,2,3,3
26077,0.32,VERY GOOD,H,SI1,62.2,56.0,449,4.36,4.39,2.72,3,3,3
26078,0.32,VERY GOOD,I,VS2,63.0,55.0,449,4.34,4.39,2.75,3,2,4
26079,0.32,IDEAL,I,VS2,62.5,55.0,449,4.37,4.4,2.74,5,2,4
26080,0.32,IDEAL,I,VS2,61.5,56.0,449,4.4,4.41,2.71,5,2,4
26081,0.32,VERY GOOD,I,VS2,62.9,57.0,449,4.37,4.4,2.76,3,2,4
26082,0.32,IDEAL,I,VS2,60.3,56.0,449,4.44,4.45,2.68,5,2,4
26083,0.32,VERY GOOD,E,SI2,62.7,57.0,449,4.34,4.37,2.73,3,6,2
26084,0.32,GOOD,I,VS2,63.2,56.0,449,4.32,4.38,2.75,2,2,4
26085,0.32,IDEAL,I,VS2,61.6,56.0,449,4.37,4.39,2.7,5,2,4
26086,0.32,PREMIUM,E,SI2,59.7,60.0,449,4.43,4.45,2.65,4,6,2
26087,0.32,VERY GOOD,I,VS2,63.0,57.0,449,4.33,4.37,2.74,3,2,4
26088,0.32,IDEAL,I,VS2,61.3,56.0,449,4.38,4.43,2.7,5,2,4
26089,0.32,PREMIUM,I,VS2,62.2,59.0,449,4.35,4.37,2.71,4,2,4
26090,0.32,GOOD,I,VS2,63.4,55.0,449,4.33,4.37,2.76,2,2,4
26091,0.32,IDEAL,E,SI2,62.7,55.0,449,4.39,4.42,2.76,5,6,2
26092,0.32,PREMIUM,I,VS2,62.6,58.0,449,4.37,4.42,2.75,4,2,4
26093,0.28,VERY GOOD,H,VVS2,62.4,54.0,450,4.2,4.23,2.63,3,3,6
26094,0.25,IDEAL,I,VS2,62.0,57.0,450,4.02,4.06,2.5,5,2,4
26095,0.32,IDEAL,G,SI2,61.6,56.0,450,4.44,4.46,2.74,5,4,2
26096,0.32,IDEAL,G,SI2,61.8,55.0,450,4.4,4.43,2.73,5,4,2
26097,0.32,IDEAL,G,SI2,62.2,53.0,450,4.4,4.44,2.75,5,4,2
26098,0.32,IDEAL,I,SI1,61.9,54.0,450,4.41,4.45,2.74,5,2,3
26099,0.32,IDEAL,D,VS2,61.1,56.0,758,4.39,4.41,2.69,5,7,4
26100,0.32,IDEAL,D,VS2,61.0,56.0,758,4.42,4.46,2.71,5,7,4
26101,0.32,IDEAL,D,VS2,61.9,55.0,758,4.41,4.44,2.74,5,7,4
26102,0.32,IDEAL,E,VS1,61.6,57.0,758,4.35,4.39,2.69,5,6,5
26103,0.32,VERY GOOD,D,VS2,62.5,57.0,758,4.34,4.39,2.73,3,7,4
26104,0.32,IDEAL,D,VS2,62.2,56.0,758,4.38,4.4,2.73,5,7,4
26105,0.32,PREMIUM,D,VS2,61.7,59.0,758,4.38,4.43,2.72,4,7,4
26106,0.32,IDEAL,D,VS2,62.7,54.0,758,4.36,4.38,2.74,5,7,4
26107,0.32,IDEAL,D,VS2,61.7,54.0,758,4.38,4.43,2.72,5,7,4
26108,0.32,IDEAL,D,VS2,61.9,57.0,758,4.37,4.39,2.71,5,7,4
26109,0.32,IDEAL,D,VS2,62.1,56.0,758,4.39,4.43,2.74,5,7,4
26110,0.32,VERY GOOD,D,VS2,62.0,57.0,758,4.38,4.42,2.73,3,7,4
26111,0.32,VERY GOOD,D,VS2,61.8,57.0,758,4.35,4.36,2.69,3,7,4
26112,0.32,IDEAL,D,VS2,61.3,56.0,758,4.37,4.41,2.69,5,7,4
26113,0.32,IDEAL,D,VS2,62.5,56.0,758,4.38,4.45,2.76,5,7,4
26114,0.32,IDEAL,E,VS1,61.5,56.0,758,4.38,4.4,2.7,5,6,5
26115,0.32,IDEAL,D,VS2,62.7,57.0,758,4.4,4.44,2.77,5,7,4
26116,0.32,IDEAL,D,VS2,62.6,57.0,758,4.37,4.41,2.75,5,7,4
26117,0.32,IDEAL,D,VS2,61.0,57.0,758,4.42,4.46,2.71,5,7,4
26118,0.32,PREMIUM,D,VS2,60.3,60.0,758,4.42,4.44,2.67,4,7,4
26119,0.32,IDEAL,D,VS2,62.0,55.0,758,4.37,4.41,2.72,5,7,4
26120,0.32,IDEAL,E,VS1,59.9,55.0,758,4.46,4.49,2.68,5,6,5
26121,0.32,IDEAL,D,VS2,62.2,55.0,758,4.37,4.41,2.73,5,7,4
26122,0.32,IDEAL,D,VS2,62.1,54.0,758,4.4,4.46,2.75,5,7,4
26123,0.32,IDEAL,E,VS1,61.7,56.0,758,4.39,4.42,2.72,5,6,5
26124,0.32,PREMIUM,D,VS2,61.7,58.0,758,4.34,4.38,2.69,4,7,4
26125,0.32,IDEAL,D,VS2,61.7,57.0,758,4.36,4.39,2.7,5,7,4
26126,0.32,IDEAL,D,VS2,62.2,56.0,758,4.36,4.39,2.72,5,7,4
26127,0.32,IDEAL,D,VS2,61.5,56.0,758,4.39,4.42,2.71,5,7,4
26128,0.32,IDEAL,D,VS2,62.6,55.0,758,4.37,4.39,2.74,5,7,4
26129,0.36,PREMIUM,I,IF,59.9,59.0,758,4.58,4.63,2.76,4,2,8
26130,0.32,IDEAL,D,VS2,61.5,56.0,758,4.41,4.44,2.72,5,7,4
26131,0.32,IDEAL,D,VS2,60.5,56.0,758,4.45,4.48,2.7,5,7,4
26132,0.32,IDEAL,D,VS2,62.3,57.0,758,4.39,4.41,2.74,5,7,4
26133,0.32,IDEAL,D,VS2,61.6,56.0,758,4.37,4.4,2.7,5,7,4
26134,0.32,IDEAL,E,VS1,61.8,55.0,758,4.4,4.43,2.73,5,6,5
26135,0.32,IDEAL,E,VS1,61.9,56.0,758,4.38,4.41,2.72,5,6,5
26136,0.3,VERY GOOD,E,VVS2,62.4,57.0,759,4.28,4.31,2.68,3,6,6
26137,0.36,VERY GOOD,D,VS2,64.0,56.0,759,4.49,4.51,2.88,3,7,4
26138,0.31,IDEAL,G,VVS1,62.4,54.0,759,4.31,4.34,2.7,5,4,7
26139,0.38,IDEAL,G,VS1,62.4,54.0,759,4.63,4.67,2.9,5,4,5
26140,0.41,IDEAL,G,SI1,61.4,56.0,759,4.81,4.83,2.96,5,4,3
26141,0.41,IDEAL,G,SI1,61.9,54.0,759,4.77,4.82,2.97,5,4,3
26142,0.44,PREMIUM,H,SI2,58.4,60.0,759,5.05,4.99,2.93,4,3,2
26143,0.44,PREMIUM,H,SI2,59.3,60.0,759,5.01,4.98,2.96,4,3,2
26144,0.44,PREMIUM,H,SI2,59.6,60.0,759,4.95,4.93,2.96,4,3,2
26145,0.37,VERY GOOD,D,VS2,60.0,57.0,760,4.7,4.76,2.84,3,7,4
26146,0.43,VERY GOOD,D,SI1,62.9,56.0,760,4.78,4.83,3.02,3,7,3
26147,0.27,VERY GOOD,E,IF,59.7,56.0,760,4.26,4.28,2.55,3,6,8
26148,0.27,IDEAL,E,VVS2,60.2,55.0,760,4.24,4.27,2.56,5,6,6
26149,0.27,IDEAL,E,VVS2,61.9,56.0,760,4.16,4.19,2.58,5,6,6
26150,0.42,IDEAL,H,VS2,62.1,54.0,760,4.82,4.84,3.0,5,3,4
26151,0.34,IDEAL,E,VS2,61.8,54.0,760,4.49,4.5,2.78,5,6,4
26152,0.41,IDEAL,E,SI2,61.2,56.0,760,4.81,4.84,2.95,5,6,2
26153,0.42,IDEAL,H,SI1,60.9,56.0,760,4.89,4.86,2.97,5,3,3
26154,0.41,GOOD,E,SI1,59.5,62.0,760,4.85,4.87,2.89,2,6,3
26155,0.43,IDEAL,E,SI1,62.6,56.0,760,4.79,4.82,3.01,5,6,3
26156,0.4,VERY GOOD,G,VS1,60.4,57.0,760,4.76,4.77,2.88,3,4,5
26157,0.42,VERY GOOD,H,SI1,58.6,61.0,761,4.92,4.95,2.89,3,3,3
26158,0.33,IDEAL,G,VVS2,60.4,57.0,761,4.48,4.52,2.72,5,4,6
26159,0.36,IDEAL,G,VS1,60.6,57.0,761,4.58,4.62,2.79,5,4,5
26160,0.3,IDEAL,D,VS1,61.0,57.0,761,4.3,4.33,2.63,5,7,5
26161,0.42,IDEAL,D,SI1,62.1,54.0,761,4.84,4.86,3.01,5,7,3
26162,0.3,PREMIUM,H,VVS1,61.3,58.0,761,4.32,4.3,2.64,4,3,7
26163,0.31,IDEAL,H,IF,60.8,57.0,761,4.38,4.4,2.67,5,3,8
26164,0.31,GOOD,G,VVS1,58.0,62.0,761,4.42,4.47,2.58,2,4,7
26165,0.31,VERY GOOD,G,VVS1,62.8,57.0,761,4.3,4.33,2.71,3,4,7
26166,0.31,PREMIUM,H,IF,60.4,58.0,761,4.41,4.43,2.67,4,3,8
26167,0.31,VERY GOOD,G,VVS1,59.8,62.0,761,4.35,4.41,2.62,3,4,7
26168,0.37,IDEAL,E,VS2,61.0,56.0,762,4.64,4.67,2.84,5,6,4
26169,0.3,IDEAL,D,VS2,62.3,53.9,762,4.3,4.32,2.69,5,7,4
26170,0.33,PREMIUM,D,VS2,60.8,60.0,762,4.52,4.46,2.73,4,7,4
26171,0.31,VERY GOOD,E,VVS1,59.9,62.0,763,4.4,4.41,2.64,3,6,7
26172,0.31,VERY GOOD,E,VVS1,61.2,61.0,763,4.33,4.36,2.66,3,6,7
26173,0.35,VERY GOOD,D,VS1,60.9,58.0,763,4.54,4.56,2.77,3,7,5
26174,0.37,IDEAL,D,VS2,61.1,54.0,763,4.63,4.66,2.84,5,7,4
26175,0.37,IDEAL,D,VS2,62.3,55.0,763,4.59,4.62,2.87,5,7,4
